Student_Names,Course_Recommendation,CourseCode,ListofCourses,RatingOfCourses
Maheah Mishra,Better luck next time,20_BT,B.E/B.Tech in Biotechnology,2.5
Md Siraj Tiwari,"28_METE, 29_TEXE, 31_POLE",21_ENE,B.E/B.Tech in Environmental Engineering,3.5
Shivukumar Tiwari,"04_CSR, 24_PROD, 13_CE",22_EEE,B.E/B.Tech in Electrical and Electronics Engineering,5.0
Talib Khan Kumar,"28_METE, 29_TEXE, 31_POLE",23_AEE,B.E/B.Tech in Aeronautical Engineering,5.0
Snehlata Srivastav,"09_ECE, 23_AEE, 26_AGRE",24_PROD,B.E/B.Tech in Production Engineering,3.0
Dharamvir Rajput,Better luck next time,25_FPT,B.E/B.Tech in Food Processing and Technology,5.0
Lovly Tiwari,"15_CHE, 16_BIOE, 25_FPT",26_AGRE,B.E/B.Tech in Agricultural Engineering,5.0
Vaibhav Devi,"07_CSBS, 19_MECH, 27_DTE",27_DTE,B.E/B.Tech in Dairy Technology and Engineering,3.5
Sangita Tiwari,Better luck next time,28_METE,B.E/B.Tech in Metallurgy Engineering,2.0
Mariyam Srivastav,Better luck next time,29_TEXE,B.E/B.Tech in Textile Engineering,2.0
Md Nasim Seth,Better luck next time,30_MARE,B.E/B.Tech in Marine Engineering,2.5
Tabrej Devi,"04_CSR, 24_PROD, 13_CE",31_POLE,B.E/B.Tech in Polymer Engineering,2.0
Deepansh Maurrya,"05_CSECS, 32_BC, 36_BSP",32_BC,BCA,4.5
Hayat Rai,"28_METE, 29_TEXE, 31_POLE",34_BSM,B.Sc in Math,4.5
Yogash Vishwakarma,"02_CSAI, 32_BC, 35_BSC",35_BSC,B.Sc in Chemistry,4.5
Nizam Thakur,Better luck next time,36_BSP,B.Sc in Physics,5.0
Narasappa Seth,Better luck next time,37_BES,B.Sc in Environmental Science,5.0
Rupsingh Srivastav,"02_CSAI, 32_BC, 35_BSC",38_CSE,B.E/B.Tech in Computer Science & Engineering ,5.0
Shantha Vishwakarma,"07_CSBS, 19_MECH, 27_DTE",39_CSAI,B.E/B.Tech in Computer Science & Engineering (AI),4.5
Jahidul Maurrya,"28_METE, 29_TEXE, 31_POLE",40_CSDS,B.E/B.Tech in Computer Science & Engineering ( Data Science),5.0
Kadar Srivastav,Better luck next time,41_CSR,B.E/B.Tech in Computer Science & Engineering (Robotics),3.0
Khyali Pandit,Better luck next time,42_CSECS,B.E/B.Tech in Computer Science & Engineering (Cyber Security),4.5
Arshad Pandey,Better luck next time,43_CSIOT,B.E/B.Tech in Computer Science & Engineering (IOT ),5.0
Sk Khan Gupta,"02_CSAI, 32_BC, 35_BSC",44_CSBS,B.E/B.Tech in Computer Science and Business System (CSBS),3.0
Indar Divedi,Better luck next time,45_ESE,B.E/B.Tech in Electronic Engineering,5.0
Ck Rajput,Better luck next time,46_ECE,B.E/B.Tech in Electronics and Communication Engineering ,5.0
Mukesh Patel Srivastav,"05_CSECS, 32_BC, 36_BSP",47_EE,B.E/B.Tech in Electrical Engineering,5.0
Kesha Thakur,Better luck next time,48_ME,B.E/B.Tech in Mechanical Engineering,5.0
Pradipta Tiwari,"28_METE, 29_TEXE, 31_POLE",49_AE,B.E/B.Tech in Aerospace Engineering,2.5
Devid Rajput,Better luck next time,50_CE,B.E/B.Tech in Civil Engineering,3.0
Kabali Divedi,Better luck next time,51_AUE,B.E/B.Tech in Automobile Engineering,2.5
Denesh Devi,Better luck next time,52_CHE,B.E/B.Tech in Chemical Engineering,4.5
Sandhyarani Seth,Better luck next time,53_BIOE,B.E/B.Tech in Biomedical Engineer,4.0
Nemchand Rai,"07_CSBS, 19_MECH, 27_DTE",54_PE,B.E/B.Tech in Petroleum Engineering,2.5
Paran Divedi,"04_CSR, 24_PROD, 13_CE",55_MIE,B.E/B.Tech in Mining Engineering,2.5
Shashwat Thakur,"04_CSR, 24_PROD, 13_CE",56_MECH,B.E/B.Tech in Mechatronics,3.0
Kalaivanan Gupta,Better luck next time,57_BT,B.E/B.Tech in Biotechnology,2.5
Ajay Das Singh,"04_CSR, 24_PROD, 13_CE",58_ENE,B.E/B.Tech in Environmental Engineering,3.5
Gautami Rajput,"28_METE, 29_TEXE, 31_POLE",59_EEE,B.E/B.Tech in Electrical and Electronics Engineering,5.0
Kulwant Vishwakarma,Better luck next time,60_AEE,B.E/B.Tech in Aeronautical Engineering,5.0
सतीश Gupta,"28_METE, 29_TEXE, 31_POLE",61_PROD,B.E/B.Tech in Production Engineering,3.0
Sakaram Sonkar,Better luck next time,62_FPT,B.E/B.Tech in Food Processing and Technology,5.0
Junad Rao,"07_CSBS, 19_MECH, 27_DTE",63_AGRE,B.E/B.Tech in Agricultural Engineering,5.0
Dabhi Gupta,Better luck next time,64_DTE,B.E/B.Tech in Dairy Technology and Engineering,3.5
Balakrishna Srivastav,"04_CSR, 24_PROD, 13_CE",65_METE,B.E/B.Tech in Metallurgy Engineering,2.0
Resham Rajput,"07_CSBS, 19_MECH, 27_DTE",66_TEXE,B.E/B.Tech in Textile Engineering,2.0
Balli Kumari,Better luck next time,67_MARE,B.E/B.Tech in Marine Engineering,2.5
Girika Seth,"28_METE, 29_TEXE, 31_POLE",68_POLE,B.E/B.Tech in Polymer Engineering,2.0
Bhoi Singh,"28_METE, 29_TEXE, 31_POLE",69_BC,BCA,4.5
Brajraj Rai,Better luck next time,70_BSM,B.Sc in Math,4.5
Jasbir Rao,"28_METE, 29_TEXE, 31_POLE",71_BSC,B.Sc in Chemistry,4.5
Sahed Gupta,"04_CSR, 24_PROD, 13_CE",72_BSP,B.Sc in Physics,5.0
Raashid Vishwakarma,"04_CSR, 24_PROD, 13_CE",73_BES,B.Sc in Environmental Science,5.0
Sentu Pratap,"02_CSAI, 32_BC, 35_BSC",,,
Subrat Devi,Better luck next time,,,
Yogender Pandey,"04_CSR, 24_PROD, 13_CE",,,
Saptarshi Maurya,Better luck next time,,,
Rajeswari Kumari,"28_METE, 29_TEXE, 31_POLE",,,
Sanjay Singh Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Anjana Sonkar,"15_CHE, 16_BIOE, 25_FPT",,,
Rameshvar Gupta,Better luck next time,,,
Sher Bahadur Singh,"28_METE, 29_TEXE, 31_POLE",,,
Rushab Tiwari,"15_CHE, 16_BIOE, 25_FPT",,,
Ganga Yadav,Better luck next time,,,
Dilshad Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Shinchan Divedi,Better luck next time,,,
Avez Singh,"28_METE, 29_TEXE, 31_POLE",,,
Raaja Maurya,Better luck next time,,,
Malkit Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Prosen Rao,Better luck next time,,,
Farookh Gupta,"05_CSECS, 32_BC, 36_BSP",,,
Tejpal Singh Gupta,"07_CSBS, 19_MECH, 27_DTE",,,
Divaakar Yadav,"04_CSR, 24_PROD, 13_CE",,,
Gayasuddin Gupta,"05_CSECS, 32_BC, 36_BSP",,,
Taijul Kumari,"28_METE, 29_TEXE, 31_POLE",,,
Takeshwar Mishra,"04_CSR, 24_PROD, 13_CE",,,
मिथुन Mishra,"04_CSR, 24_PROD, 13_CE",,,
Pinu Srivastav,"28_METE, 29_TEXE, 31_POLE",,,
Dhirender Devi,"07_CSBS, 19_MECH, 27_DTE",,,
दिनेश Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Rageshwari Yadav,Better luck next time,,,
Shah Nawaz Pandey,"07_CSBS, 19_MECH, 27_DTE",,,
Jay Shankar Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Malini Divedi,"05_CSECS, 32_BC, 36_BSP",,,
Akash Mishra,Better luck next time,,,
Sopna Rao,Better luck next time,,,
Tribhuvan Srivastav,Better luck next time,,,
Mohnish Kumari,"04_CSR, 24_PROD, 13_CE",,,
Parvej Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Jadish Devi,Better luck next time,,,
Ajesh Pandit,Better luck next time,,,
Fanish Divedi,"05_CSECS, 32_BC, 36_BSP",,,
Jagu Singh,Better luck next time,,,
Minhajul Seth,Better luck next time,,,
Sanny Yadav,Better luck next time,,,
Agrima Kumar,"28_METE, 29_TEXE, 31_POLE",,,
Bheru Rao,"28_METE, 29_TEXE, 31_POLE",,,
M J Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Md Abdul Srivastav,"07_CSBS, 19_MECH, 27_DTE",,,
Bathula Gupta,"15_CHE, 16_BIOE, 25_FPT",,,
Gulsan Rajput,Better luck next time,,,
Musha Rao,"02_CSAI, 32_BC, 35_BSC",,,
Barkath Sonkar,Better luck next time,,,
Hardik Srivastav,Better luck next time,,,
Singar Vishwakarma,"28_METE, 29_TEXE, 31_POLE",,,
Bhaagyasree Pandey,Better luck next time,,,
Boloram Gupta,"28_METE, 29_TEXE, 31_POLE",,,
Kumudini Divedi,"07_CSBS, 19_MECH, 27_DTE",,,
Bittu Singh Pratap,"09_ECE, 23_AEE, 26_AGRE",,,
Dhrupad Gupta,"07_CSBS, 19_MECH, 27_DTE",,,
Majhar Gupta,Better luck next time,,,
Ramdas Pratap,Better luck next time,,,
Amey Srivastav,"05_CSECS, 32_BC, 36_BSP",,,
Palvi Rajput,"02_CSAI, 32_BC, 35_BSC",,,
Balbhim Kumar,"02_CSAI, 32_BC, 35_BSC",,,
Afrin Singh,Better luck next time,,,
Alop Rao,"28_METE, 29_TEXE, 31_POLE",,,
Banhishikha Sonkar,"07_CSBS, 19_MECH, 27_DTE",,,
Angana Mishra,"05_CSECS, 32_BC, 36_BSP",,,
Jayaseelan Tiwari,Better luck next time,,,
Hafeez Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Manubhai Sonkar,"04_CSR, 24_PROD, 13_CE",,,
Shagun Pandit,"09_ECE, 23_AEE, 26_AGRE",,,
Tabarak Tiwari,Better luck next time,,,
Jilan Tiwari,Better luck next time,,,
Amritha Rao,"28_METE, 29_TEXE, 31_POLE",,,
Hanamanth Tiwari,Better luck next time,,,
Bhimsen Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Sukant Maurya,Better luck next time,,,
Radhey Maurya,"28_METE, 29_TEXE, 31_POLE",,,
Sharry Seth,Better luck next time,,,
Bandu Sonkar,Better luck next time,,,
Nobita Rai,"28_METE, 29_TEXE, 31_POLE",,,
Shambu Vishwakarma,"28_METE, 29_TEXE, 31_POLE",,,
Santohs Sonkar,"04_CSR, 24_PROD, 13_CE",,,
Tailor Thakur,Better luck next time,,,
Dron Yadav,"02_CSAI, 32_BC, 35_BSC",,,
Julu Vishwakarma,"28_METE, 29_TEXE, 31_POLE",,,
Asarul Rai,"04_CSR, 24_PROD, 13_CE",,,
Mayank Rao,"28_METE, 29_TEXE, 31_POLE",,,
Th Seth,"28_METE, 29_TEXE, 31_POLE",,,
Aashif Tiwari,"28_METE, 29_TEXE, 31_POLE",,,
Md Salam Pandey,"04_CSR, 24_PROD, 13_CE",,,
Amreek Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Ankita Seth,Better luck next time,,,
Ravindra Singh Vishwakarma,"07_CSBS, 19_MECH, 27_DTE",,,
Achchhelal Gupta,"07_CSBS, 19_MECH, 27_DTE",,,
Aman Seth,Better luck next time,,,
Karuppasamy Rajput,"04_CSR, 24_PROD, 13_CE",,,
Malav Maurya,Better luck next time,,,
Archana Tiwari,Better luck next time,,,
Brijesh Vishwakarma,"28_METE, 29_TEXE, 31_POLE",,,
Modhu Kumari,Better luck next time,,,
Basanti Devi,"28_METE, 29_TEXE, 31_POLE",,,
Gavi Seth,Better luck next time,,,
Ashlesh Srivastav,Better luck next time,,,
Sarun Sonkar,Better luck next time,,,
Mudiraj Pandey,Better luck next time,,,
राहूल Rajput,"02_CSAI, 32_BC, 35_BSC",,,
Mp Thakur,Better luck next time,,,
Joga Kumar,Better luck next time,,,
Cʜocoɭʌtƴ Rai,Better luck next time,,,
Prempal Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Bp Thakur,Better luck next time,,,
Yalappa Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Jogeswar Pandey,"09_ECE, 23_AEE, 26_AGRE",,,
Barku Seth,Better luck next time,,,
Begum Gupta,"28_METE, 29_TEXE, 31_POLE",,,
Parshuram Kumari,Better luck next time,,,
Md Asraf Vishwakarma,Better luck next time,,,
Ahil Rai,"04_CSR, 24_PROD, 13_CE",,,
Gajendra Maurrya,Better luck next time,,,
Sharana Maurrya,Better luck next time,,,
Manohar Kumar,"28_METE, 29_TEXE, 31_POLE",,,
Loganathan Seth,"07_CSBS, 19_MECH, 27_DTE",,,
Sofik Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Binal Rao,"28_METE, 29_TEXE, 31_POLE",,,
Dipul Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Ramesh Singh Singh,Better luck next time,,,
Sadhana Thakur,Better luck next time,,,
Barath Tiwari,"04_CSR, 24_PROD, 13_CE",,,
Himanchal Singh,"04_CSR, 24_PROD, 13_CE",,,
Preeta Gupta,Better luck next time,,,
Sadan Pandit,"07_CSBS, 19_MECH, 27_DTE",,,
Tigar Thakur,Better luck next time,,,
Torun Yadav,"04_CSR, 24_PROD, 13_CE",,,
Kamru Singh,"05_CSECS, 32_BC, 36_BSP",,,
Rajashekar Tiwari,"07_CSBS, 19_MECH, 27_DTE",,,
Hemakshi Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Binod Kumar Mishra,Better luck next time,,,
Pobitra Devi,"28_METE, 29_TEXE, 31_POLE",,,
Chitaranjan Srivastav,Better luck next time,,,
Foji Seth,"28_METE, 29_TEXE, 31_POLE",,,
Heema Singh,Better luck next time,,,
Rahesh Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Taba Rao,"07_CSBS, 19_MECH, 27_DTE",,,
Rambharosh Kumari,Better luck next time,,,
Kondapalli Kumar,"04_CSR, 24_PROD, 13_CE",,,
Masroor Rajput,"05_CSECS, 32_BC, 36_BSP",,,
Sadeeq Rao,"07_CSBS, 19_MECH, 27_DTE",,,
Md Abdullah Thakur,"02_CSAI, 32_BC, 35_BSC",,,
Awnish Devi,Better luck next time,,,
Tomba Kumar,"28_METE, 29_TEXE, 31_POLE",,,
Satyapriya Vishwakarma,"28_METE, 29_TEXE, 31_POLE",,,
Arunesh Singh,Better luck next time,,,
Sawar Gupta,Better luck next time,,,
Harminder Tiwari,"04_CSR, 24_PROD, 13_CE",,,
Kunj Yadav,Better luck next time,,,
Mahendran Singh,"09_ECE, 23_AEE, 26_AGRE",,,
Rathava Yadav,Better luck next time,,,
Gade Yadav,Better luck next time,,,
Shabeena Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Navaneeth Maurya,Better luck next time,,,
Hanmanth Rai,Better luck next time,,,
Manivannan Mishra,"04_CSR, 24_PROD, 13_CE",,,
Savan Rajput,Better luck next time,,,
Kritesh Srivastav,"02_CSAI, 32_BC, 35_BSC",,,
Danaram Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Rajgor Mishra,Better luck next time,,,
Jiyalal Singh,Better luck next time,,,
Dorababu Rai,Better luck next time,,,
Tuhin Thakur,Better luck next time,,,
Sharadha Sonkar,Better luck next time,,,
Narendrasingh Srivastav,Better luck next time,,,
Biswas Seth,Better luck next time,,,
Raja Khan Kumar,"28_METE, 29_TEXE, 31_POLE",,,
Yunus Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Niteen Vishwakarma,"09_ECE, 23_AEE, 26_AGRE",,,
Gori Thakur,Better luck next time,,,
Sefali Kumari,Better luck next time,,,
Dynamo Thakur,Better luck next time,,,
Pupu Singh,"15_CHE, 16_BIOE, 25_FPT",,,
Abdul Mannan Vishwakarma,"05_CSECS, 32_BC, 36_BSP",,,
Esrar Singh,"28_METE, 29_TEXE, 31_POLE",,,
Kislay Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Deo Thakur,Better luck next time,,,
Rames Divedi,Better luck next time,,,
Mohith Tiwari,"02_CSAI, 32_BC, 35_BSC",,,
Abdulrehman Kumar,Better luck next time,,,
Divyansh Yadav,Better luck next time,,,
Rashmin Gupta,Better luck next time,,,
Dimple Rai,Better luck next time,,,
Bijli Yadav,Better luck next time,,,
Shobharam Tiwari,Better luck next time,,,
Zaara Maurya,Better luck next time,,,
Kesava Srivastav,"28_METE, 29_TEXE, 31_POLE",,,
Monu Srivastav,Better luck next time,,,
Surindar Seth,Better luck next time,,,
Md Wasim Yadav,"05_CSECS, 32_BC, 36_BSP",,,
Yerra Sonkar,"04_CSR, 24_PROD, 13_CE",,,
Jakariya Tiwari,"09_ECE, 23_AEE, 26_AGRE",,,
Namo Maurya,Better luck next time,,,
Kummari Divedi,"07_CSBS, 19_MECH, 27_DTE",,,
Dillep Rai,Better luck next time,,,
Bhardwaj Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Mukes Pratap,Better luck next time,,,
Srujana Singh,"02_CSAI, 32_BC, 35_BSC",,,
Abarna Maurrya,Better luck next time,,,
Laxmikanta Rao,Better luck next time,,,
Venkatesha Rai,"04_CSR, 24_PROD, 13_CE",,,
Rajiv Kumar Rao,Better luck next time,,,
Revanth Rao,"04_CSR, 24_PROD, 13_CE",,,
Mukesh Sharma Divedi,Better luck next time,,,
Sivakrishna Sonkar,"07_CSBS, 19_MECH, 27_DTE",,,
Phool Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Pallav Kumar,Better luck next time,,,
Kamalakanta Seth,Better luck next time,,,
Suren Srivastav,"09_ECE, 23_AEE, 26_AGRE",,,
Gyana Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Dinakar Gupta,"04_CSR, 24_PROD, 13_CE",,,
Parthiban Singh,Better luck next time,,,
Tilottama Tiwari,Better luck next time,,,
Pramod Yadav Maurrya,"02_CSAI, 32_BC, 35_BSC",,,
Rubeena Vishwakarma,"28_METE, 29_TEXE, 31_POLE",,,
Narasimman Rai,"28_METE, 29_TEXE, 31_POLE",,,
Arbaaz Vishwakarma,Better luck next time,,,
Rakish Thakur,"09_ECE, 23_AEE, 26_AGRE",,,
Ishvar Rai,Better luck next time,,,
Rumi Maurya,Better luck next time,,,
Mursleen Pandey,Better luck next time,,,
Rajabhau Maurrya,"28_METE, 29_TEXE, 31_POLE",,,
Nisant Maurrya,Better luck next time,,,
Tikeswar Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Anujkumar Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Asu Rajput,"07_CSBS, 19_MECH, 27_DTE",,,
Sonu Saini Yadav,"07_CSBS, 19_MECH, 27_DTE",,,
Puspanjali Maurya,"28_METE, 29_TEXE, 31_POLE",,,
Sanjay Yadav Tiwari,"05_CSECS, 32_BC, 36_BSP",,,
Mir Gupta,"07_CSBS, 19_MECH, 27_DTE",,,
Vasa Yadav,"04_CSR, 24_PROD, 13_CE",,,
Dharini Pandey,Better luck next time,,,
Mukesh Mishra,"05_CSECS, 32_BC, 36_BSP",,,
Rajish Sonkar,Better luck next time,,,
Deepesh Mishra,Better luck next time,,,
Alish Sonkar,Better luck next time,,,
Sitara Pratap,"28_METE, 29_TEXE, 31_POLE",,,
Akula Thakur,Better luck next time,,,
Imran Singh,"09_ECE, 23_AEE, 26_AGRE",,,
Ambaliya Singh,Better luck next time,,,
Dashrth Divedi,Better luck next time,,,
Bishnu Prasad Divedi,"05_CSECS, 32_BC, 36_BSP",,,
Kritesh Rajput,"04_CSR, 24_PROD, 13_CE",,,
Dolan Maurya,"02_CSAI, 32_BC, 35_BSC",,,
Aswathy Thakur,"02_CSAI, 32_BC, 35_BSC",,,
Rani Pandit,Better luck next time,,,
Tauseef Rai,"04_CSR, 24_PROD, 13_CE",,,
Navaz Rai,"28_METE, 29_TEXE, 31_POLE",,,
Santosh Kr Kumar,"02_CSAI, 32_BC, 35_BSC",,,
Pani Pandit,Better luck next time,,,
Shohan Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Ayan Khan Singh,"04_CSR, 24_PROD, 13_CE",,,
Sanjivani Pandit,Better luck next time,,,
Siddika Maurya,"07_CSBS, 19_MECH, 27_DTE",,,
Virendar Vishwakarma,Better luck next time,,,
Kaththi Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Hiranmoy Yadav,Better luck next time,,,
Chidambaram Singh,Better luck next time,,,
Chhotelal Mishra,Better luck next time,,,
Geetika Mishra,Better luck next time,,,
Umesh Singh Yadav,Better luck next time,,,
Lalsinh Rajput,Better luck next time,,,
Vennila Pandey,Better luck next time,,,
Yashasvi Thakur,"07_CSBS, 19_MECH, 27_DTE",,,
Vasantha Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Rupali Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Shnkar Seth,"04_CSR, 24_PROD, 13_CE",,,
Raju Das Rai,"04_CSR, 24_PROD, 13_CE",,,
Sahaya Thakur,Better luck next time,,,
Khitish Maurrya,Better luck next time,,,
Gajpathi Singh,Better luck next time,,,
Smeer Srivastav,"02_CSAI, 32_BC, 35_BSC",,,
Mukhtiyar Kumari,"28_METE, 29_TEXE, 31_POLE",,,
Divyanshu Gupta,Better luck next time,,,
Esakkimuthu Kumari,"28_METE, 29_TEXE, 31_POLE",,,
Jigu Devi,Better luck next time,,,
Gulzar Divedi,"07_CSBS, 19_MECH, 27_DTE",,,
Sunny Srivastav,Better luck next time,,,
Rajnandan Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Rejabul Pandey,Better luck next time,,,
Bava Maurya,"07_CSBS, 19_MECH, 27_DTE",,,
Raheesh Yadav,"15_CHE, 16_BIOE, 25_FPT",,,
Prasann Rai,Better luck next time,,,
Bibak Maurrya,"28_METE, 29_TEXE, 31_POLE",,,
Maaz Kumar,"28_METE, 29_TEXE, 31_POLE",,,
Arun Singh Mishra,"28_METE, 29_TEXE, 31_POLE",,,
Meren Rai,Better luck next time,,,
Aarish Gupta,Better luck next time,,,
Tejasvi Yadav,Better luck next time,,,
Mousam Rajput,Better luck next time,,,
Shadab Khan Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Tandel Pandit,Better luck next time,,,
Abhay Singh Vishwakarma,Better luck next time,,,
Venkates Kumari,"05_CSECS, 32_BC, 36_BSP",,,
Dasu Tiwari,Better luck next time,,,
Shyam Sunder Tiwari,Better luck next time,,,
Kajal Singh Pandit,"04_CSR, 24_PROD, 13_CE",,,
Pyush Gupta,"05_CSECS, 32_BC, 36_BSP",,,
Rahila Rao,Better luck next time,,,
Ragava Vishwakarma,Better luck next time,,,
Gurnam Seth,"28_METE, 29_TEXE, 31_POLE",,,
Ravina Mishra,"28_METE, 29_TEXE, 31_POLE",,,
Padmanava Thakur,"02_CSAI, 32_BC, 35_BSC",,,
Prit Maurrya,"28_METE, 29_TEXE, 31_POLE",,,
Sana Kumari,Better luck next time,,,
Palas Kumar,"28_METE, 29_TEXE, 31_POLE",,,
Luxmi Mishra,Better luck next time,,,
Harikesh Seth,"04_CSR, 24_PROD, 13_CE",,,
Raj Kumari Rao,Better luck next time,,,
Shoab Sonkar,Better luck next time,,,
Deepu Singh,Better luck next time,,,
Shibsankar Thakur,"07_CSBS, 19_MECH, 27_DTE",,,
Kamble Srivastav,Better luck next time,,,
Natvar Rai,"07_CSBS, 19_MECH, 27_DTE",,,
Pardep Mishra,"04_CSR, 24_PROD, 13_CE",,,
Hulk Seth,Better luck next time,,,
Toran Vishwakarma,Better luck next time,,,
Nita Divedi,"04_CSR, 24_PROD, 13_CE",,,
Rohita Divedi,"05_CSECS, 32_BC, 36_BSP",,,
Durganand Rajput,"28_METE, 29_TEXE, 31_POLE",,,
Sachu Rai,Better luck next time,,,
Dimpy Pandey,Better luck next time,,,
Mannu Kumar Maurya,"28_METE, 29_TEXE, 31_POLE",,,
Saim Mishra,"28_METE, 29_TEXE, 31_POLE",,,
Sreenivasulu Mishra,Better luck next time,,,
Bhatu Pratap,"07_CSBS, 19_MECH, 27_DTE",,,
आशुतोष Rai,"28_METE, 29_TEXE, 31_POLE",,,
Bacchu Rai,"05_CSECS, 32_BC, 36_BSP",,,
Saifuddin Mishra,Better luck next time,,,
Ikshita Vishwakarma,"28_METE, 29_TEXE, 31_POLE",,,
Rutika Pandit,"28_METE, 29_TEXE, 31_POLE",,,
Akilesh Gupta,"28_METE, 29_TEXE, 31_POLE",,,
Rma Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Hemraj Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
मारोती Singh,"28_METE, 29_TEXE, 31_POLE",,,
Arvind Singh Singh,"05_CSECS, 32_BC, 36_BSP",,,
Mustaqeem Singh,"28_METE, 29_TEXE, 31_POLE",,,
Debnath Sonkar,Better luck next time,,,
Gauri Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Divyansh Gupta,"01_CSE, 08_ESE, 22_EEE",,,
Prashu Rai,"28_METE, 29_TEXE, 31_POLE",,,
Chakshu Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Saifan Maurrya,"28_METE, 29_TEXE, 31_POLE",,,
Ramachal Seth,"04_CSR, 24_PROD, 13_CE",,,
Tameshwar Yadav,Better luck next time,,,
Samaresh Rajput,"28_METE, 29_TEXE, 31_POLE",,,
Divyendu Sonkar,Better luck next time,,,
Nisarga Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Rajendr Vishwakarma,Better luck next time,,,
Kettavan Singh,Better luck next time,,,
नितेश Mishra,"28_METE, 29_TEXE, 31_POLE",,,
Ekdant Rao,"28_METE, 29_TEXE, 31_POLE",,,
Avisek Maurrya,"04_CSR, 24_PROD, 13_CE",,,
Himanshu Kumar Tiwari,"28_METE, 29_TEXE, 31_POLE",,,
Sajeet Pratap,Better luck next time,,,
