Student_Names,Study_Hours,Part_Time_Job,Math,Physics,Chemistry,Grade,Comment
Shinchan Divedi,10,Yes,23,59,48,D,Poor Pursuance
Avez Singh,2,No,97,15,50,C,Below Average Achivement
Raaja Maurya,10,No,50,67,33,D,Poor Pursuance
Malkit Pandey,4,Yes,71,48,34,C,Below Average Achivement
Prosen Rao,3,No,100,13,11,D,Poor Pursuance
Farookh Gupta,4,Yes,67,86,79,B+,Good Pursuance
Tejpal Singh Gupta,4,Yes,80,61,49,B,Average Performance
Divaakar Yadav,2,Yes,82,36,77,B,Average Performance
Gayasuddin Gupta,1,Yes,59,90,90,B+,Good Pursuance
Taijul Kumari,2,Yes,55,30,88,C,Below Average Achivement
Takeshwar Mishra,6,No,99,13,87,B,Average Performance
मिथुन Mishra,2,Yes,68,72,63,B,Average Performance
Pinu Srivastav,1,No,99,22,54,C,Below Average Achivement
Dhirender Devi,5,No,94,56,40,B,Average Performance
दिनेश Yadav,4,Yes,16,72,87,C,Below Average Achivement
Rageshwari Yadav,1,Yes,35,50,20,D,Poor Pursuance
Shah Nawaz Pandey,9,Yes,42,79,62,B,Average Performance
Jay Shankar Sonkar,6,Yes,59,59,35,C,Below Average Achivement
Malini Divedi,1,Yes,70,62,96,B+,Good Pursuance
Akash Mishra,3,No,40,21,11,F,Failed
Sopna Rao,4,Yes,49,49,35,D,Poor Pursuance
Tribhuvan Srivastav,5,No,46,35,29,D,Poor Pursuance
Mohnish Kumari,5,No,44,100,59,B,Average Performance
Parvej Yadav,1,Yes,75,26,75,C,Below Average Achivement
Jadish Devi,10,Yes,28,59,49,D,Poor Pursuance
Ajesh Pandit,8,Yes,31,61,41,D,Poor Pursuance
Fanish Divedi,8,Yes,92,45,88,B+,Good Pursuance
Jagu Singh,7,No,16,62,33,D,Poor Pursuance
Minhajul Seth,8,Yes,29,17,76,D,Poor Pursuance
Sanny Yadav,6,No,28,20,22,F,Failed
Agrima Kumar,1,Yes,81,40,43,C,Below Average Achivement
Bheru Rao,7,Yes,85,41,27,C,Below Average Achivement
M J Divedi,2,No,13,83,65,C,Below Average Achivement
Md Abdul Srivastav,9,No,100,55,30,B,Average Performance
Bathula Gupta,1,No,84,92,80,A,Very Good Achivement
Gulsan Rajput,9,No,25,43,27,F,Failed
Musha Rao,10,Yes,82,88,50,B+,Good Pursuance
Barkath Sonkar,9,No,99,17,19,D,Poor Pursuance
Hardik Srivastav,7,No,29,41,40,D,Poor Pursuance
Singar Vishwakarma,2,No,62,72,36,C,Below Average Achivement
Bhaagyasree Pandey,9,Yes,20,31,39,F,Failed
Boloram Gupta,9,No,65,10,91,C,Below Average Achivement
Kumudini Divedi,9,No,48,58,88,B,Average Performance
Bittu Singh Pratap,6,Yes,63,87,97,A,Very Good Achivement
Dhrupad Gupta,1,Yes,51,80,57,B,Average Performance
Majhar Gupta,10,Yes,42,76,24,D,Poor Pursuance
Ramdas Pratap,7,Yes,67,84,90,B+,Good Pursuance
Amey Srivastav,4,No,63,70,93,B+,Good Pursuance
Palvi Rajput,7,No,57,73,89,B+,Good Pursuance
Balbhim Kumar,2,Yes,95,66,53,B+,Good Pursuance
Afrin Singh,6,Yes,45,23,26,F,Failed
Alop Rao,9,Yes,28,89,37,C,Below Average Achivement
Banhishikha Sonkar,6,No,30,77,76,B,Average Performance
Angana Mishra,5,Yes,72,66,97,B+,Good Pursuance
Jayaseelan Tiwari,7,Yes,41,77,34,D,Poor Pursuance
Hafeez Thakur,2,No,76,46,35,C,Below Average Achivement
Manubhai Sonkar,6,No,57,55,85,B,Average Performance
Shagun Pandit,8,No,66,85,96,A,Very Good Achivement
Tabarak Tiwari,3,No,73,25,12,D,Poor Pursuance
Jilan Tiwari,4,Yes,58,75,12,D,Poor Pursuance
Amritha Rao,6,No,89,41,32,C,Below Average Achivement
Hanamanth Tiwari,10,No,47,62,13,D,Poor Pursuance
Bhimsen Divedi,2,Yes,74,17,62,C,Below Average Achivement
Sukant Maurya,4,No,45,31,63,D,Poor Pursuance
Radhey Maurya,4,Yes,32,81,46,C,Below Average Achivement
Sharry Seth,2,Yes,16,29,43,F,Failed
Bandu Sonkar,10,No,63,23,54,D,Poor Pursuance
Nobita Rai,5,Yes,22,89,45,C,Below Average Achivement
Shambu Vishwakarma,5,Yes,33,44,97,C,Below Average Achivement
Santohs Sonkar,3,No,56,73,68,B,Average Performance
Tailor Thakur,7,Yes,28,32,18,F,Failed
Dron Yadav,9,Yes,60,80,73,B+,Good Pursuance
Julu Vishwakarma,2,No,13,96,67,C,Below Average Achivement
Asarul Rai,10,No,100,44,59,B,Average Performance
Mayank Rao,6,Yes,52,84,38,C,Below Average Achivement
Th Seth,7,No,81,46,37,C,Below Average Achivement
Aashif Tiwari,10,No,73,37,59,C,Below Average Achivement
Md Salam Pandey,5,No,100,71,38,B,Average Performance
Amreek Yadav,2,Yes,31,53,71,C,Below Average Achivement
Ankita Seth,4,Yes,26,51,58,D,Poor Pursuance
Ravindra Singh Vishwakarma,7,No,81,43,69,B,Average Performance
Achchhelal Gupta,9,Yes,77,74,42,B,Average Performance
Aman Seth,2,No,12,17,78,D,Poor Pursuance
Karuppasamy Rajput,1,Yes,17,94,97,B,Average Performance
Malav Maurya,10,No,47,37,42,D,Poor Pursuance
Archana Tiwari,4,Yes,76,50,14,D,Poor Pursuance
Brijesh Vishwakarma,6,Yes,60,33,82,C,Below Average Achivement
Modhu Kumari,3,Yes,49,57,38,D,Poor Pursuance
Basanti Devi,8,No,82,59,18,C,Below Average Achivement
Gavi Seth,4,No,47,58,17,D,Poor Pursuance
Ashlesh Srivastav,4,No,36,62,54,D,Poor Pursuance
Sarun Sonkar,10,No,49,31,15,F,Failed
Mudiraj Pandey,3,Yes,13,13,11,F,Failed
राहूल Rajput,6,No,82,64,70,B+,Good Pursuance
Mp Thakur,2,Yes,10,64,49,D,Poor Pursuance
Joga Kumar,5,Yes,27,34,16,F,Failed
Cʜocoɭʌtƴ Rai,3,Yes,83,38,20,D,Poor Pursuance
Prempal Sonkar,10,No,84,20,60,C,Below Average Achivement
Bp Thakur,6,Yes,53,35,19,D,Poor Pursuance
Yalappa Yadav,1,Yes,74,75,20,C,Below Average Achivement
Jogeswar Pandey,8,No,87,98,68,A,Very Good Achivement
Barku Seth,7,Yes,22,88,10,D,Poor Pursuance
Begum Gupta,10,No,33,93,42,C,Below Average Achivement
Parshuram Kumari,3,Yes,29,64,32,D,Poor Pursuance
Md Asraf Vishwakarma,8,No,21,59,37,D,Poor Pursuance
Ahil Rai,2,No,29,85,92,B,Average Performance
Gajendra Maurrya,9,Yes,68,80,62,B,Average Performance
Sharana Maurrya,3,No,55,11,78,D,Poor Pursuance
Manohar Kumar,7,No,52,49,54,C,Below Average Achivement
Loganathan Seth,2,No,86,50,54,B,Average Performance
Sofik Thakur,10,Yes,62,77,25,C,Below Average Achivement
Binal Rao,8,No,49,28,91,C,Below Average Achivement
Dipul Divedi,7,Yes,44,56,82,C,Below Average Achivement
Ramesh Singh Singh,2,No,32,77,14,D,Poor Pursuance
Sadhana Thakur,4,Yes,50,14,32,F,Failed
Barath Tiwari,5,No,77,59,62,B,Average Performance
Himanchal Singh,8,No,82,45,75,B,Average Performance
Preeta Gupta,8,Yes,42,70,29,D,Poor Pursuance
Sadan Pandit,3,No,59,62,63,B,Average Performance
Tigar Thakur,8,Yes,57,20,51,D,Poor Pursuance
Torun Yadav,9,No,89,32,78,B,Average Performance
Kamru Singh,6,No,49,83,95,B+,Good Pursuance
Rajashekar Tiwari,7,No,24,80,82,B,Average Performance
Hemakshi Sonkar,4,No,80,73,24,C,Below Average Achivement
Binod Kumar Mishra,7,Yes,38,23,87,D,Poor Pursuance
Pobitra Devi,7,No,21,91,49,C,Below Average Achivement
Chitaranjan Srivastav,9,Yes,20,64,34,D,Poor Pursuance
Foji Seth,3,No,46,58,57,C,Below Average Achivement
Heema Singh,7,No,12,75,42,D,Poor Pursuance
Rahesh Divedi,5,Yes,75,37,47,C,Below Average Achivement
Taba Rao,7,Yes,38,95,59,B,Average Performance
Rambharosh Kumari,8,Yes,35,24,25,F,Failed
Kondapalli Kumar,5,No,29,83,88,B,Average Performance
Masroor Rajput,10,No,88,92,47,B+,Good Pursuance
Sadeeq Rao,8,Yes,90,59,41,B,Average Performance
Md Abdullah Thakur,8,Yes,54,68,98,B+,Good Pursuance
Awnish Devi,7,Yes,36,15,99,D,Poor Pursuance
Tomba Kumar,3,Yes,39,97,34,C,Below Average Achivement
Satyapriya Vishwakarma,3,No,66,58,53,C,Below Average Achivement
Arunesh Singh,8,No,76,40,15,D,Poor Pursuance
Sawar Gupta,9,Yes,16,61,14,F,Failed
Harminder Tiwari,3,Yes,57,82,60,B,Average Performance
Kunj Yadav,5,No,88,40,12,D,Poor Pursuance
Mahendran Singh,9,No,96,82,65,A,Very Good Achivement
Rathava Yadav,9,Yes,27,75,38,D,Poor Pursuance
Gade Yadav,7,No,96,20,14,D,Poor Pursuance
Shabeena Yadav,8,No,25,84,52,C,Below Average Achivement
Navaneeth Maurya,4,Yes,20,22,49,F,Failed
Hanmanth Rai,4,No,30,69,42,D,Poor Pursuance
Manivannan Mishra,5,Yes,73,88,36,B,Average Performance
Savan Rajput,3,No,50,30,41,D,Poor Pursuance
Kritesh Srivastav,9,No,88,53,76,B+,Good Pursuance
Danaram Pandey,6,Yes,46,25,95,C,Below Average Achivement
Rajgor Mishra,7,No,41,37,45,D,Poor Pursuance
Jiyalal Singh,6,Yes,51,73,17,D,Poor Pursuance
Dorababu Rai,5,Yes,32,43,22,F,Failed
Tuhin Thakur,10,Yes,27,22,42,F,Failed
Sharadha Sonkar,5,No,41,47,60,D,Poor Pursuance
Narendrasingh Srivastav,7,No,12,19,76,D,Poor Pursuance
Biswas Seth,5,Yes,30,69,30,D,Poor Pursuance
Raja Khan Kumar,4,Yes,78,38,53,C,Below Average Achivement
Yunus Divedi,1,Yes,36,76,46,C,Below Average Achivement
Niteen Vishwakarma,2,Yes,92,98,57,A,Very Good Achivement
Gori Thakur,3,Yes,12,85,26,D,Poor Pursuance
Sefali Kumari,5,Yes,98,26,12,D,Poor Pursuance
Dynamo Thakur,10,Yes,31,28,67,D,Poor Pursuance
Pupu Singh,6,No,78,98,91,A,Very Good Achivement
Abdul Mannan Vishwakarma,8,No,100,58,67,B+,Good Pursuance
Esrar Singh,2,No,64,34,67,C,Below Average Achivement
Kislay Pandey,4,No,84,20,69,C,Below Average Achivement
Deo Thakur,10,No,54,25,10,F,Failed
Rames Divedi,10,No,80,10,60,D,Poor Pursuance
Mohith Tiwari,3,No,70,66,85,B+,Good Pursuance
Abdulrehman Kumar,3,No,55,58,32,D,Poor Pursuance
Divyansh Yadav,2,Yes,37,37,27,D,Poor Pursuance
Rashmin Gupta,10,Yes,12,45,37,F,Failed
Dimple Rai,7,No,44,84,18,D,Poor Pursuance
Bijli Yadav,9,No,72,13,38,D,Poor Pursuance
Shobharam Tiwari,2,No,14,78,52,D,Poor Pursuance
Zaara Maurya,8,Yes,67,40,22,D,Poor Pursuance
Kesava Srivastav,3,No,82,33,53,C,Below Average Achivement
Monu Srivastav,10,Yes,53,31,66,D,Poor Pursuance
Surindar Seth,7,Yes,30,29,36,F,Failed
Md Wasim Yadav,8,Yes,68,79,90,B+,Good Pursuance
Yerra Sonkar,9,No,95,23,91,B,Average Performance
Jakariya Tiwari,5,Yes,95,95,57,A,Very Good Achivement
Namo Maurya,1,Yes,33,93,16,D,Poor Pursuance
Kummari Divedi,10,Yes,75,66,44,B,Average Performance
Dillep Rai,9,No,51,83,12,D,Poor Pursuance
Bhardwaj Divedi,6,Yes,57,78,31,C,Below Average Achivement
Mukes Pratap,6,No,48,41,19,D,Poor Pursuance
Srujana Singh,4,No,68,71,84,B+,Good Pursuance
Abarna Maurrya,8,Yes,19,23,52,F,Failed
Laxmikanta Rao,6,Yes,23,41,44,D,Poor Pursuance
Venkatesha Rai,7,No,84,89,25,B,Average Performance
Rajiv Kumar Rao,10,No,23,32,81,D,Poor Pursuance
Revanth Rao,5,Yes,84,45,68,B,Average Performance
Mukesh Sharma Divedi,7,No,21,86,13,D,Poor Pursuance
Sivakrishna Sonkar,1,Yes,73,53,62,B,Average Performance
Phool Sonkar,10,Yes,26,68,82,C,Below Average Achivement
Pallav Kumar,3,Yes,42,11,17,F,Failed
Kamalakanta Seth,3,No,43,46,26,D,Poor Pursuance
Suren Srivastav,2,Yes,70,78,100,A,Very Good Achivement
Gyana Thakur,2,No,13,75,82,C,Below Average Achivement
Dinakar Gupta,3,No,89,21,99,B,Average Performance
Parthiban Singh,2,Yes,56,32,13,D,Poor Pursuance
Tilottama Tiwari,5,No,100,98,13,B,Average Performance
Pramod Yadav Maurrya,3,No,57,73,83,B+,Good Pursuance
Rubeena Vishwakarma,1,No,63,36,78,C,Below Average Achivement
Narasimman Rai,7,No,22,90,45,C,Below Average Achivement
Arbaaz Vishwakarma,8,Yes,26,21,13,F,Failed
Rakish Thakur,10,Yes,68,96,86,A,Very Good Achivement
Ishvar Rai,9,No,61,22,66,D,Poor Pursuance
Rumi Maurya,1,No,10,99,19,D,Poor Pursuance
Mursleen Pandey,6,Yes,34,20,36,F,Failed
Rajabhau Maurrya,9,Yes,61,64,28,C,Below Average Achivement
Nisant Maurrya,1,No,18,24,28,F,Failed
Tikeswar Pandey,8,No,93,57,31,C,Below Average Achivement
Anujkumar Yadav,3,No,86,33,62,C,Below Average Achivement
Asu Rajput,5,Yes,20,93,73,B,Average Performance
Sonu Saini Yadav,9,Yes,67,31,89,B,Average Performance
Puspanjali Maurya,5,Yes,91,42,40,C,Below Average Achivement
Sanjay Yadav Tiwari,4,No,63,70,97,B+,Good Pursuance
Mir Gupta,2,Yes,49,59,75,B,Average Performance
Vasa Yadav,9,No,83,48,66,B,Average Performance
Dharini Pandey,10,No,35,90,16,D,Poor Pursuance
Mukesh Mishra,5,Yes,89,62,86,B+,Good Pursuance
Rajish Sonkar,1,Yes,75,30,26,D,Poor Pursuance
Deepesh Mishra,6,Yes,60,10,64,D,Poor Pursuance
Alish Sonkar,1,No,25,59,54,D,Poor Pursuance
Sitara Pratap,3,No,13,72,80,C,Below Average Achivement
Akula Thakur,5,No,39,79,29,D,Poor Pursuance
Imran Singh,2,No,90,91,68,A,Very Good Achivement
Ambaliya Singh,8,Yes,17,76,30,D,Poor Pursuance
Dashrth Divedi,9,No,37,28,46,D,Poor Pursuance
Bishnu Prasad Divedi,5,Yes,81,71,79,B+,Good Pursuance
Kritesh Rajput,7,Yes,36,81,84,B,Average Performance
Dolan Maurya,5,No,98,97,26,B+,Good Pursuance
Aswathy Thakur,5,Yes,89,92,41,B+,Good Pursuance
Rani Pandit,3,Yes,63,18,52,D,Poor Pursuance
Tauseef Rai,3,Yes,91,96,11,B,Average Performance
Navaz Rai,5,No,68,21,65,C,Below Average Achivement
Santosh Kr Kumar,2,Yes,87,36,95,B+,Good Pursuance
Pani Pandit,10,Yes,23,52,55,D,Poor Pursuance
Shohan Divedi,3,Yes,32,85,59,C,Below Average Achivement
Ayan Khan Singh,6,Yes,59,59,91,B,Average Performance
Sanjivani Pandit,2,No,25,10,97,D,Poor Pursuance
Siddika Maurya,1,Yes,56,81,47,B,Average Performance
Virendar Vishwakarma,2,Yes,33,19,70,D,Poor Pursuance
Kaththi Thakur,1,Yes,34,56,68,C,Below Average Achivement
Hiranmoy Yadav,5,Yes,13,17,28,F,Failed
Chidambaram Singh,9,No,66,16,64,D,Poor Pursuance
Chhotelal Mishra,4,No,54,32,16,D,Poor Pursuance
Geetika Mishra,2,No,34,39,57,D,Poor Pursuance
Umesh Singh Yadav,9,No,14,13,53,F,Failed
Lalsinh Rajput,6,Yes,49,13,53,D,Poor Pursuance
Vennila Pandey,1,No,41,17,30,F,Failed
Yashasvi Thakur,6,No,96,69,27,B,Average Performance
Vasantha Pandey,4,No,32,51,70,C,Below Average Achivement
Rupali Sonkar,3,No,44,61,76,C,Below Average Achivement
Shnkar Seth,7,No,97,18,90,B,Average Performance
Raju Das Rai,9,Yes,78,75,49,B,Average Performance
Sahaya Thakur,5,No,21,20,80,D,Poor Pursuance
Khitish Maurrya,7,No,86,27,17,D,Poor Pursuance
Gajpathi Singh,2,Yes,19,21,31,F,Failed
Smeer Srivastav,6,No,89,89,39,B+,Good Pursuance
Mukhtiyar Kumari,8,Yes,75,21,86,C,Below Average Achivement
Divyanshu Gupta,3,No,26,78,18,D,Poor Pursuance
Esakkimuthu Kumari,2,No,77,70,32,C,Below Average Achivement
Jigu Devi,9,No,20,37,55,D,Poor Pursuance
Gulzar Divedi,9,Yes,100,47,42,B,Average Performance
Sunny Srivastav,5,Yes,30,34,85,D,Poor Pursuance
Rajnandan Divedi,4,Yes,59,97,11,C,Below Average Achivement
Rejabul Pandey,5,No,24,22,52,F,Failed
Bava Maurya,7,Yes,99,58,30,B,Average Performance
Raheesh Yadav,3,Yes,100,99,60,A,Very Good Achivement
Prasann Rai,5,No,66,18,52,D,Poor Pursuance
Bibak Maurrya,2,Yes,76,69,31,C,Below Average Achivement
Maaz Kumar,3,Yes,23,93,39,C,Below Average Achivement
Arun Singh Mishra,3,Yes,37,50,74,C,Below Average Achivement
Meren Rai,8,No,12,17,72,D,Poor Pursuance
Aarish Gupta,5,Yes,17,69,47,D,Poor Pursuance
Tejasvi Yadav,5,Yes,31,28,63,D,Poor Pursuance
Mousam Rajput,7,Yes,61,38,36,D,Poor Pursuance
Shadab Khan Pandey,6,No,53,94,28,C,Below Average Achivement
Tandel Pandit,10,Yes,50,17,63,D,Poor Pursuance
Abhay Singh Vishwakarma,4,Yes,19,29,63,D,Poor Pursuance
Venkates Kumari,7,No,86,75,77,B+,Good Pursuance
Dasu Tiwari,3,Yes,29,19,51,D,Poor Pursuance
Shyam Sunder Tiwari,2,Yes,42,11,94,D,Poor Pursuance
Kajal Singh Pandit,2,Yes,80,25,98,B,Average Performance
Pyush Gupta,7,No,100,68,60,B+,Good Pursuance
Rahila Rao,1,No,19,73,12,D,Poor Pursuance
Ragava Vishwakarma,2,No,65,40,42,D,Poor Pursuance
Gurnam Seth,6,No,57,50,54,C,Below Average Achivement
Ravina Mishra,10,Yes,41,68,46,C,Below Average Achivement
Padmanava Thakur,1,No,39,88,92,B+,Good Pursuance
Prit Maurrya,5,Yes,52,29,94,C,Below Average Achivement
Sana Kumari,2,Yes,48,40,22,D,Poor Pursuance
Palas Kumar,5,No,64,45,69,C,Below Average Achivement
Luxmi Mishra,2,Yes,90,20,20,D,Poor Pursuance
Harikesh Seth,6,No,36,91,73,B,Average Performance
Raj Kumari Rao,6,Yes,84,25,11,D,Poor Pursuance
Shoab Sonkar,9,Yes,15,67,19,D,Poor Pursuance
Deepu Singh,8,Yes,32,22,22,F,Failed
Shibsankar Thakur,9,Yes,58,60,73,B,Average Performance
Kamble Srivastav,3,No,84,26,18,D,Poor Pursuance
Natvar Rai,10,No,11,86,89,B,Average Performance
Pardep Mishra,4,Yes,77,60,59,B,Average Performance
Hulk Seth,10,Yes,30,65,12,D,Poor Pursuance
Toran Vishwakarma,7,Yes,69,36,46,D,Poor Pursuance
Nita Divedi,8,Yes,84,68,44,B,Average Performance
Rohita Divedi,8,No,99,61,65,B+,Good Pursuance
Durganand Rajput,2,No,59,39,59,C,Below Average Achivement
Sachu Rai,5,Yes,55,22,46,D,Poor Pursuance
Dimpy Pandey,1,Yes,36,63,52,D,Poor Pursuance
Mannu Kumar Maurya,3,No,49,85,24,C,Below Average Achivement
Saim Mishra,6,Yes,37,81,58,C,Below Average Achivement
Sreenivasulu Mishra,2,Yes,34,18,36,F,Failed
Bhatu Pratap,2,No,77,42,65,B,Average Performance
आशुतोष Rai,4,Yes,26,75,75,C,Below Average Achivement
Bacchu Rai,6,Yes,78,82,70,B+,Good Pursuance
Saifuddin Mishra,3,Yes,32,68,34,D,Poor Pursuance
Ikshita Vishwakarma,9,No,38,54,66,C,Below Average Achivement
Rutika Pandit,4,Yes,49,82,39,C,Below Average Achivement
Akilesh Gupta,7,Yes,64,37,56,C,Below Average Achivement
Rma Yadav,9,No,75,38,49,C,Below Average Achivement
Hemraj Sonkar,7,Yes,73,59,37,C,Below Average Achivement
मारोती Singh,6,No,77,60,18,C,Below Average Achivement
Arvind Singh Singh,2,Yes,99,87,42,B+,Good Pursuance
Mustaqeem Singh,8,Yes,98,54,16,C,Below Average Achivement
Debnath Sonkar,8,Yes,39,95,77,B,Average Performance
Gauri Yadav,10,Yes,83,64,16,C,Below Average Achivement
Divyansh Gupta,2,Yes,98,88,96,A+,Excellent Performance
Prashu Rai,9,Yes,18,71,89,C,Below Average Achivement
Chakshu Yadav,10,Yes,32,93,45,C,Below Average Achivement
Saifan Maurrya,3,No,38,37,93,C,Below Average Achivement
Ramachal Seth,8,Yes,65,100,37,B,Average Performance
Tameshwar Yadav,9,No,71,35,45,D,Poor Pursuance
Samaresh Rajput,8,No,32,87,44,C,Below Average Achivement
Divyendu Sonkar,4,Yes,82,25,27,D,Poor Pursuance
Nisarga Sonkar,9,Yes,62,81,30,C,Below Average Achivement
Rajendr Vishwakarma,1,No,10,34,56,D,Poor Pursuance
Kettavan Singh,8,Yes,14,12,22,F,Failed
नितेश Mishra,6,Yes,18,77,65,C,Below Average Achivement
Ekdant Rao,3,Yes,42,68,66,C,Below Average Achivement
Avisek Maurrya,4,Yes,85,67,54,B,Average Performance
Himanshu Kumar Tiwari,1,Yes,86,39,43,C,Below Average Achivement
Sajeet Pratap,3,Yes,40,20,69,D,Poor Pursuance
Faizur Vishwakarma,5,No,88,19,57,C,Below Average Achivement
Ambarish Rao,3,No,70,21,97,B,Average Performance
Nischay Maurrya,9,Yes,34,15,67,D,Poor Pursuance
Rambeer Pandit,4,Yes,92,25,32,D,Poor Pursuance
Kirubakaran Sonkar,2,Yes,60,95,72,B+,Good Pursuance
Rakhee Devi,3,No,36,35,40,D,Poor Pursuance
Maqsud Pandey,3,Yes,46,64,39,D,Poor Pursuance
Bachchan Devi,4,No,13,47,54,D,Poor Pursuance
Sange Sonkar,3,Yes,56,92,93,B+,Good Pursuance
Punit Kumar Yadav,7,No,47,94,65,B,Average Performance
Havisha Maurya,9,Yes,62,98,30,B,Average Performance
Sony Maurya,2,Yes,27,84,27,D,Poor Pursuance
Shamji Rajput,3,Yes,77,37,45,C,Below Average Achivement
Hafijur Rai,6,Yes,93,91,89,A+,Excellent Performance
Niranjan Rai,10,No,81,79,94,A,Very Good Achivement
রাজু Vishwakarma,3,Yes,91,47,59,B,Average Performance
